time_fs,mu_x_true,mu_x_pred,m_x_true,m_x_pred,is_train,is_val
6.3601456,0.24164121,0.24132122,-5.8513793e-05,-5.1768107e-05,0,0
6.380146,0.24334483,0.24297711,-6.1440944e-05,-5.5198947e-05,0,0
6.4001465,0.24496883,0.24454764,-6.3889114e-05,-5.836317e-05,0,0
6.420147,0.2464813,0.2460046,-6.57798e-05,-6.095768e-05,0,0
6.4401474,0.24785395,0.24732311,-6.7101086e-05,-6.280927e-05,0,0
6.460148,0.24906233,0.24848177,-6.790017e-05,-6.388016e-05,0,0
6.4801483,0.2500854,0.24946257,-6.828052e-05,-6.424175e-05,0,0
6.500149,0.25090554,0.25025076,-6.81926e-05,-6.4046915e-05,0,0
6.520149,0.25150833,0.25083452,-6.73217e-05,-6.337525e-05,0,0
6.5401497,0.2518825,0.25120485,-6.541015e-05,-6.2059196e-05,0,0
6.56015,0.25201982,0.2513553,-6.2449624e-05,-5.9809696e-05,0,0
6.5801506,0.25191647,0.25128162,-5.8541224e-05,-5.646678e-05,0,0
6.600151,0.25157464,0.2509818,-5.395296e-05,-5.2060168e-05,0,0
6.6201515,0.25100288,0.250457,-4.906762e-05,-4.6836973e-05,0,0
6.640152,0.25021556,0.24971256,-4.4041037e-05,-4.1226616e-05,0,0
6.6601524,0.24923202,0.24875933,-3.879947e-05,-3.5580728e-05,0,0
6.680153,0.24807496,0.24761449,-3.320793e-05,-2.9997731e-05,0,0
6.7001534,0.24676883,0.24630155,-2.7004447e-05,-2.4366425e-05,0,0
6.720154,0.24533892,0.24484943,-1.982769e-05,-1.8395123e-05,0,0
6.7401543,0.24381189,0.24329056,-1.1394703e-05,-1.1652665e-05,0,0
6.7601547,0.2422159,0.24165933,-1.5821234e-06,-3.7127402e-06,0,0
6.780155,0.24058075,0.23999067,9.556234e-06,5.6995477e-06,0,0
6.8001556,0.23893899,0.23831913,2.177034e-05,1.6626243e-05,0,0
6.820156,0.23732528,0.23667887,3.46778e-05,2.8843879e-05,0,0
6.8401566,0.23577374,0.23510359,4.7966143e-05,4.1909905e-05,0,0
